 Name,Id,Wind,Humditity,Temparature,storm,startdate,enddate
Ambala,1,4mps,83,27°C,Heavyrain,25-01-21,08-02-21
Bhiwani,2,52mps,88,18°C,Thunderstorm,15-02-21,24-02-21
Charkhi Dadri,3,5mps,74,28°C,Clouds,25-01-21,26-02-21
Faridabad,4,2.9mps,74,32°C,Haze,21-01-21,26-02-21
Fatehabed,5,31mps,85,27°C,Lightning,08-02-21,26-02-21
Gurugram,6,73mps,96,17°C,Hurricance,29-01-21,28-02-21
Hisar,7,3mps,75,28°C,lightair,02-02-21,15-02-21
Jhajjar,8,19mps,75,25°C,Fresh air,15-02-21,25-02-21
Jind,9,61mps,88,21°C,Thunderstorm,06-02-21,08-02-21
Kaithal,10,5mps,72,32°C,Hot air,05-02-21,02-03-21
Karnal,11,9mps,78,23°C,Gentle Breeze,14-02-21,15-02-21
Kurukshetra,12,6mps,72,33°C,Clear clouds,01-02-21,21-02-21
Mahendragarh,13,12mps,84,21°C,Lightning,16-02-21,05-03-21
Nuh,14,78mps,95,8°C,Hurricance,03-03-21,11-03-21
Pawal,15,5mps,72,32°C,Hot air,08-02-21,14-02-21
Panchkula,16,75mps,83,20°C,Lightning,28-01-21,08-02-21
Panipat,17,68mps,88,25°C,Thunderstorm,27-01-21,03-02-21
Rewari,18,99mps,95,19°C,Hurricance,06-02-21,23-02-21
Rohtak,19,56mps,75,32°C,Heavyrain,23-02-21,03-03-21
Sirsa,20,78mps,95,15°C,Hurricance,24-01-21,02-02-21
Sonipat,21,89mps,92,25°C,Hurricance,01-02-21,05-02-21
Yamunanagar,22,75mps,91,15°C,Hurricance,06-02-21,21-02-21
