 Name,Id,Wind,Humditity,Temparature,storm,startdate,enddate
Alipurduar,1,4mps,83,27°C,Heavyrain,25-01-21,08-02-21
Bankura,2,52mps,88,18°C,Thunderstorm,15-02-21,24-02-21
Birbhum,3,5mps,74,28°C,Clouds,25-01-21,26-02-21
Cooch Behar,4,2.9mps,74,32°C,Haze,21-01-21,26-02-21
Dakshin Dinajpur,5,31mps,85,27°C,Lightning,08-02-21,26-02-21
Darjeeling,6,73mps,96,17°C,Hurricance,29-01-21,28-02-21
Hooghly,7,3mps,75,28°C,lightair,02-02-21,15-02-21
Howrah,8,19mps,75,25°C,Fresh air,15-02-21,25-02-21
Jalpaiguri,9,61mps,88,21°C,Thunderstorm,06-02-21,08-02-21
Jharhram,10,5mps,72,32°C,Hot air,05-02-21,02-03-21
Kalimpong,11,9mps,78,23°C,Gentle Breeze,14-02-21,15-02-21
Kolkata,12,6mps,72,33°C,Clear clouds,01-02-21,21-02-21
malda,13,12mps,84,21°C,Lightning,16-02-21,05-03-21
Murushidabad,14,78mps,95,8°C,Hurricance,03-03-21,11-03-21
Nadia,15,5mps,72,32°C,Hot air,08-02-21,14-02-21
North 24 Parganas,16,75mps,83,20°C,Lightning,28-01-21,08-02-21
Paschim Medinipur,17,68mps,88,25°C,Thunderstorm,27-01-21,03-02-21
Paschim Burdwan,18,99mps,95,19°C,Hurricance,06-02-21,23-02-21
Purba Burdwan West,19,56mps,75,32°C,Heavyrain,23-02-21,03-03-21
Purba Burdwan East,20,78mps,95,15°C,Hurricance,24-01-21,02-02-21
Purulia,21,89mps,92,25°C,Hurricance,01-02-21,05-02-21
South 24 Parganas,22,75mps,91,15°C,Hurricance,06-02-21,21-02-21
Uttar Dinajpur,23,95mps,98,29°C,Hurricance,21-01-21,29-01-21
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
